"","R_tm1","R_tm2","UpDown"
"1",0.812394033387133,-0.119348928251643,"1"
"2",0.0158047099652389,0.813649439128843,"1"
"3",0.653810344793967,0.0171000205834633,"-1"
"4",-0.590650309081215,0.655073694732674,"-1"
"5",-1.00425826336614,-0.589324618301049,"1"
"6",0.543266526380154,-1.00291185303343,"-1"
"7",-0.618119704556226,0.54453541397458,"1"
"8",0.123294544221459,-0.616792637705854,"1"
"9",0.569638767723784,0.124584470172281,"-1"
"10",-0.327091488553436,0.570906334209575,"1"
"11",0.484618380820291,-0.325779000664494,"-1"
"12",-1.6375700829779,0.485890206374012,"1"
"13",1.28713962548188,-1.63619194710079,"-1"
"14",-0.378460837695295,1.28837124900147,"1"
"15",0.592481627719786,-0.377145776475938,"1"
"16",0.160810663685367,0.593748049900123,"1"
"17",-0.00677580864200811,0.162098710278696,"-1"
"18",-0.71314691080564,-0.00547936686023413,"1"
"19",-0.0332516292796302,-0.711815083599061,"-1"
"20",-0.6706111978504,-0.0319538612004504,"1"
"21",-0.0633212692543701,-0.669281501456176,"-1"
"22",-2.7182051287677,-0.0620219948466033,"-1"
"23",-0.449774495462411,-2.71677285883833,"1"
"24",0.880057464631878,-0.44845586180915,"-1"
"25",-1.35321242586877,0.881309480796564,"1"
"26",-0.0693154700648614,-1.35184853479366,"-1"
"27",-0.806775443157688,-0.0680158953796039,"1"
"28",1.45474815494343,-0.805438925661003,"1"
"29",0.293809840227943,1.45597138216963,"-1"
"30",-0.287982795446114,0.295091224271875,"1"
"31",0.816283328048285,-0.286672266694112,"1"
"32",0.503761445485942,0.817538538957076,"-1"
"33",-0.0795059266462182,0.505032312074222,"1"
"34",1.0577525163117,-0.0782058414734365,"1"
"35",0.590433118464969,1.05899563090203,"1"
"36",0.256542713688806,0.591699643264694,"1"
"37",0.319023343288721,0.257825964617014,"-1"
"38",-0.33509562626859,0.320303464270625,"1"
"39",0.562257986944968,-0.333782737415039,"1"
"40",0.0677246166511066,0.563525923168511,"1"
"41",-0.0647659231562776,0.0690173263589196,"-1"
